,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Predicted Survived
0,892,3,0,34.5,0,0,78292,3,0
1,893,3,1,47.0,1,0,7,1,1
2,894,2,0,62.0,0,0,96875,3,0
3,895,3,0,27.0,0,0,86625,1,0
4,896,3,1,22.0,1,1,122875,1,1
5,897,3,0,14.0,0,0,9225,1,0
6,898,3,1,30.0,0,0,76292,3,0
7,899,2,0,26.0,1,1,29,1,1
8,900,3,1,18.0,0,0,72292,2,1
9,901,3,0,21.0,2,0,2415,1,0
10,902,3,0,30.272590361445783,0,0,78958,1,0
11,903,1,0,46.0,0,0,26,1,0
12,904,1,1,23.0,1,0,822667,1,1
13,905,2,0,63.0,1,0,26,1,0
14,906,1,1,47.0,1,0,61175,1,1
15,907,2,1,24.0,1,0,277208,2,1
16,908,2,0,35.0,0,0,1235,3,0
17,909,3,0,21.0,0,0,7225,2,0
18,910,3,1,27.0,1,0,7925,1,0
19,911,3,1,45.0,0,0,7225,2,1
20,912,1,0,55.0,1,0,594,2,0
21,913,3,0,9.0,0,1,31708,1,0
22,914,1,1,30.272590361445783,0,0,316833,1,1
23,915,1,0,21.0,0,1,613792,2,0
24,916,1,1,48.0,1,3,262375,2,1
25,917,3,0,50.0,1,0,145,1,0
26,918,1,1,22.0,0,1,619792,2,1
27,919,3,0,22.5,0,0,7225,2,0
28,920,1,0,41.0,0,0,305,1,1
29,921,3,0,30.272590361445783,2,0,216792,2,0
30,922,2,0,50.0,1,0,26,1,0
31,923,2,0,24.0,2,0,315,1,1
32,924,3,1,33.0,1,2,20575,1,1
33,925,3,1,30.272590361445783,1,2,2345,1,0
34,926,1,0,30.0,1,0,5775,2,0
35,927,3,0,18.5,0,0,72292,2,0
36,928,3,1,30.272590361445783,0,0,805,1,0
37,929,3,1,21.0,0,0,86625,1,0
38,930,3,0,25.0,0,0,95,1,0
39,931,3,0,30.272590361445783,0,0,564958,1,1
40,932,3,0,39.0,0,1,134167,2,1
41,933,1,0,30.272590361445783,0,0,2655,1,0
42,934,3,0,41.0,0,0,785,1,0
43,935,2,1,30.0,0,0,13,1,1
44,936,1,1,45.0,1,0,525542,1,1
45,937,3,0,25.0,0,0,7925,1,0
46,938,1,0,45.0,0,0,297,2,1
47,939,3,0,30.272590361445783,0,0,775,3,0
48,940,1,1,60.0,0,0,762917,2,1
49,941,3,1,36.0,0,2,159,1,1
50,942,1,0,24.0,1,0,60,1,0
51,943,2,0,27.0,0,0,150333,2,0
52,944,2,1,20.0,2,1,23,1,1
53,945,1,1,28.0,3,2,263,1,1
54,946,2,0,30.272590361445783,0,0,155792,2,0
55,947,3,0,10.0,4,1,29125,3,0
56,948,3,0,35.0,0,0,78958,1,0
57,949,3,0,25.0,0,0,765,1,0
58,950,3,0,30.272590361445783,1,0,161,1,0
59,951,1,1,36.0,0,0,262375,2,1
60,952,3,0,17.0,0,0,78958,1,0
61,953,2,0,32.0,0,0,135,1,0
62,954,3,0,18.0,0,0,775,1,0
63,955,3,1,22.0,0,0,7725,3,1
